"dbo.chs"
"dbo.common"
"dbo.cred"
"dbo.dci"
"dbo.dea"
"dbo.dw"
"dbo.dw_atm_dxc"
"dbo.dxcps"
"dbo.erp"
"dbo.erpDev"
"dbo.ext_raw"
"dbo.ext_raw_ec"
"dbo.ext_raw_pc"
"dbo.master"
"dbo.ns"
"dbo.partcredDM"
"dbo.pfs"
"dbo.pnt"
"dbo.reports"
"dbo.rpt"
"dbo.trx"
"dbo.trxBrch"
"dbo.trxDev"
"dbo.trxQA"
"dbo.trxTest"
"dbo.trxWsdm"
"entity.master"
"payerportal.master"
"pdt.lkr"
"temp.master"
"tmort.reports"
"trans.master"
