"bwyllie.dw_dxc_dev"
"dbo.bdd"
"dbo.bireports"
"dbo.chs"
"dbo.common"
"dbo.cred"
"dbo.dci"
"dbo.ddir"
"dbo.dea"
"dbo.dhmo"
"dbo.dw_atm_dxc"
"dbo.dw_dxc"
"dbo.dxcps"
"dbo.entyDev"
"dbo.erp"
"dbo.erpDev"
"dbo.ext_raw_ec"
"dbo.master"
"dbo.merchant"
"dbo.ns"
"dbo.ntf"
"dbo.pfs"
"dbo.pnt"
"dbo.ptp"
"dbo.reports"
"dbo.rpt"
"dbo.sch"
"dbo.schDev"
"dbo.trx"
"dbo.trxBrch"
"dbo.trxDev"
"dbo.trxQA"
"dbo.trxTest"
"dbo.trxWsdm"
"entity.master"
"payerportal.master"
"pdt.lkr"
"tmort.reports"
