"dbo.chs"
"dbo.common"
"dbo.cred"
"dbo.dci"
"dbo.ddir"
"dbo.dea"
"dbo.dhmo"
"dbo.dw_atm_dxc"
"dbo.dxcps"
"dbo.entyDev"
"dbo.ext_raw_ec"
"dbo.ext_raw_mp"
"dbo.ext_raw_pc"
"dbo.master"
"dbo.merchant"
"dbo.ns"
"dbo.pfs"
"dbo.pnt"
"dbo.reports"
"dbo.rpt"
"dbo.trx"
"dbo.trxBrch"
"dbo.trxDev"
"dbo.trxQA"
"dbo.trxTest"
"dbo.trxWsdm"
"ddsenroll.master"
"entity.master"
"pdt.lkr"
"tmort.common"
"tmort.reports"
